"task"	"ID"	"mean"	"sd"
"1"	"baseline"	"006"	1.63620689655172	0.0779383361155034
"2"	"baseline"	"007"	1.387	0.0992089400865842
"3"	"baseline"	"008"	1.52208333333333	0.157870918634037
"4"	"baseline"	"009"	1.11833333333333	0.0902136671858891
"5"	"baseline"	"010"	1.76310344827586	0.13024985462772
"6"	"baseline"	"011"	1.50114285714286	0.18312277187677
"7"	"baseline"	"012"	1.32033333333333	0.0975734324119207
"8"	"baseline"	"013"	1.14028571428571	0.120207803267453
"9"	"baseline"	"014"	1.40868421052632	0.155061819452961
"10"	"baseline"	"015"	1.89666666666666	0.0602079728939604
"11"	"baseline"	"018"	1.52	0.175132602822628
"12"	"baseline"	"019"	1.50516129032258	0.0887269582386301
"13"	"baseline"	"020"	1.24666666666667	0.0709124208342334
"14"	"baseline"	"021"	1.17970588235294	0.092719364592355
"15"	"baseline"	"022"	1.34166666666667	0.107449533730262
"16"	"baseline"	"023"	1.36172413793103	0.105629709210905
"17"	"baseline"	"024"	1.53103448275862	0.1103353598155
"18"	"baseline"	"025"	1.67535714285714	0.169169696587144
"19"	"baseline"	"026"	1.43677419354839	0.147769800630896
"20"	"baseline"	"027"	1.7	0.144328684712254
"21"	"baseline"	"028"	1.69541666666667	0.176166402725593
"22"	"baseline"	"029"	1.24807692307692	0.241694339706484
"23"	"baseline"	"030"	1.3158064516129	0.192003024169732
"24"	"baseline"	"031"	1.45433333333333	0.110568541180801
"25"	"baseline"	"032"	1.41242424242424	0.155222225837474
"26"	"baseline"	"033"	1.11192307692308	0.120565973002974
"27"	"baseline"	"034"	1.585	0.14667651482088
"28"	"baseline"	"035"	1.52354838709677	0.117857212679771
"29"	"baseline"	"036"	1.75928571428571	0.138214234444845
"30"	"baseline"	"037"	1.54066666666667	0.118988070492551
"31"	"baseline"	"038"	1.11342857142857	0.0644407095089495
"32"	"baseline"	"039"	1.18135135135135	0.0749504340719087
"33"	"baseline"	"040"	1.31666666666667	0.144696727181864
"34"	"baseline"	"041"	1.56705882352941	0.0782199467610482
"35"	"baseline"	"042"	1.802	0.199924985932222
"36"	"baseline"	"043"	1.41655172413793	0.244792563234217
"37"	"baseline"	"044"	1.25266666666667	0.172065210840568
"38"	"baseline"	"045"	1.20481481481482	0.135543645266311
"39"	"baseline"	"046"	1.42823529411765	0.0868112054014013
"40"	"baseline"	"047"	1.7315625	0.0817592601049152
"41"	"baseline"	"048"	1.30488372093023	0.204478105627627
"42"	"baseline"	"049"	1.65933333333333	0.150629331148681
"43"	"baseline"	"050"	1.20777777777778	0.0714387294364344
"44"	"baseline"	"051"	1.35545454545455	0.19078932931854
"45"	"baseline"	"052"	1.11357142857143	0.0984969459001057
"46"	"baseline"	"053"	1.733125	0.113661566120228
"47"	"baseline"	"054"	1.5003125	0.130074032889959
"48"	"baseline"	"055"	1.58896551724138	0.183348708117818
"49"	"baseline"	"056"	1.71615384615385	0.139630281044677
"50"	"baseline"	"057"	1.38852941176471	0.135358835176171
"51"	"baseline"	"058"	1.6884375	0.115984130588572
"52"	"baseline"	"059"	1.69666666666667	0.109869305849341
"53"	"baseline"	"060"	1.87923076923077	0.0805669016471754
"54"	"baseline"	"061"	1.3834375	0.125276709855656
"55"	"baseline"	"062"	1.6625	0.202818949597391
"56"	"baseline"	"063"	1.56484848484848	0.159748263138469
"57"	"baseline"	"064"	1.52757575757576	0.0617469788243882
"58"	"OSPAN"	"006"	1.70073333333333	0.105595763761545
"59"	"OSPAN"	"007"	1.72666666666667	0.197449648357156
"60"	"OSPAN"	"008"	1.423	0.247705578643832
"61"	"OSPAN"	"009"	1.19813953488372	0.212863200133811
"62"	"OSPAN"	"010"	1.69648648648649	0.277410808651639
"63"	"OSPAN"	"011"	1.83166666666667	0.127501633976457
"64"	"OSPAN"	"012"	1.43214814814815	0.242559071694856
"65"	"OSPAN"	"013"	1.18831460674157	0.166863630204046
"66"	"OSPAN"	"014"	1.47255319148936	0.280038154736071
"67"	"OSPAN"	"015"	1.66558139534884	0.21990584917816
"68"	"OSPAN"	"018"	1.33380165289256	0.244977060825252
"69"	"OSPAN"	"019"	1.20932367149758	0.141000332472404
"70"	"OSPAN"	"020"	1.12819672131147	0.11630692079095
"71"	"OSPAN"	"021"	1.23	0.209402185667483
"72"	"OSPAN"	"022"	1.37791304347826	0.244093365988514
"73"	"OSPAN"	"023"	1.549	0.233579659568937
"74"	"OSPAN"	"024"	1.73034246575343	0.137852566839442
"75"	"OSPAN"	"025"	1.79333333333333	0.180570753726761
"76"	"OSPAN"	"026"	1.36611111111111	0.278855582940473
"77"	"OSPAN"	"027"	1.40223744292237	0.208590768012043
"78"	"OSPAN"	"028"	1.70714285714286	0.223520532773675
"79"	"OSPAN"	"029"	1.715	0.222186108176604
"80"	"OSPAN"	"030"	1.37471698113208	0.269267816927134
"81"	"OSPAN"	"031"	1.54205882352941	0.230584178079996
"82"	"OSPAN"	"032"	1.19338129496403	0.165628158517698
"83"	"OSPAN"	"033"	1.11755319148936	0.119862700756806
"84"	"OSPAN"	"034"	1.46309523809523	0.23286642350559
"85"	"OSPAN"	"035"	1.47943661971831	0.285346342558067
"86"	"OSPAN"	"036"	1.63077669902913	0.239622617186751
"87"	"OSPAN"	"037"	1.666875	0.19906940757499
"88"	"OSPAN"	"038"	1.39284090909091	0.259775502479183
"89"	"OSPAN"	"039"	1.33077464788732	0.243689355630785
"90"	"OSPAN"	"040"	1.45182926829268	0.314148380639976
"91"	"OSPAN"	"041"	1.60549549549549	0.199452608810573
"92"	"OSPAN"	"042"	1.63423076923077	0.194816284266447
"93"	"OSPAN"	"043"	1.49466666666667	0.250072173490023
"94"	"OSPAN"	"044"	1.27	0.234539738400317
"95"	"OSPAN"	"045"	1.28892857142857	0.272763712816166
"96"	"OSPAN"	"046"	1.33412121212121	0.210872137535442
"97"	"OSPAN"	"047"	1.77481203007519	0.126410835168986
"98"	"OSPAN"	"048"	1.3739603960396	0.29497145356092
"99"	"OSPAN"	"049"	1.7375	0.198218746948393
"100"	"OSPAN"	"050"	1.398	0.37658996269152
"101"	"OSPAN"	"051"	1.45493333333334	0.270921217896102
"102"	"OSPAN"	"052"	1.2639	0.240697198600529
"103"	"OSPAN"	"053"	1.76338983050848	0.163829286353851
