"Subject"	"task"	"rt"
"156"	"053"	"AT"	1.0668334952381
"157"	"054"	"AC"	0.965016994444445
"158"	"054"	"AR"	0.958405325
"159"	"054"	"AT"	0.916788768421053
"160"	"055"	"AC"	0.784363907692308
"161"	"055"	"AR"	0.848689983333333
"162"	"055"	"AT"	1.10300390833333
"163"	"056"	"AC"	1.36625211052632
"164"	"056"	"AR"	1.28041535882353
"165"	"056"	"AT"	1.2415685
"166"	"057"	"AC"	1.27171841176471
"167"	"057"	"AR"	1.03215891111111
"168"	"057"	"AT"	1.03965328823529
"169"	"058"	"AC"	0.460199370588235
"170"	"058"	"AR"	0.72783714
"171"	"058"	"AT"	0.62594954375
"172"	"059"	"AC"	1.04190051111111
"173"	"059"	"AR"	1.29902405789474
"174"	"059"	"AT"	0.826990511764706
"175"	"060"	"AC"	1.37101430625
"176"	"060"	"AR"	1.3992026125
"177"	"060"	"AT"	1.41734762777778
"178"	"061"	"AC"	1.25397057058824
"179"	"061"	"AR"	1.091643025
"180"	"061"	"AT"	1.12215944736842
"181"	"062"	"AC"	1.12580833333333
"182"	"062"	"AR"	1.11295830555556
"183"	"062"	"AT"	1.01400697777778
"184"	"063"	"AC"	1.05469742105263
"185"	"063"	"AR"	1.31989054210526
"186"	"063"	"AT"	1.44950705714286
"187"	"001"	"VC"	0.749483614285714
"188"	"001"	"VR"	0.815680272727273
"189"	"001"	"VT"	0.837249641666667
"190"	"002"	"VC"	0.7352919625
"191"	"002"	"VR"	0.95963544
"192"	"002"	"VT"	0.687776372727273
"193"	"003"	"VC"	0.445221785714286
"194"	"003"	"VT"	0.581198566666667
"195"	"004"	"VC"	0.58835052
"196"	"004"	"VR"	0.582516216666667
"197"	"004"	"VT"	0.513140625
"198"	"005"	"VC"	1.7291279
"199"	"005"	"VR"	1.175785925
"200"	"005"	"VT"	1.11316948
"201"	"006"	"VC"	0.887534675
"202"	"006"	"VR"	0.85293488
"203"	"006"	"VT"	1.02798895555556
"204"	"007"	"VC"	1.01764496
"205"	"007"	"VR"	0.820236984615385
"206"	"007"	"VT"	0.812470675
"207"	"008"	"VC"	0.8104548875
"208"	"008"	"VR"	0.640747911111111
"209"	"008"	"VT"	0.7702996
"210"	"009"	"VC"	0.615426322222222
"211"	"009"	"VR"	0.731987525
"212"	"009"	"VT"	0.875046509090909
"213"	"010"	"VC"	0.682699175
"214"	"010"	"VR"	0.523753094117647
"215"	"010"	"VT"	0.6360061
"216"	"011"	"VC"	0.815761866666667
"217"	"011"	"VR"	1.05430555714286
"218"	"011"	"VT"	0.5282603
"219"	"012"	"VC"	0.818380883333333
"220"	"012"	"VR"	0.556626342857143
"221"	"012"	"VT"	0.7571663
"222"	"013"	"VC"	1.11787135454545
"223"	"013"	"VR"	0.7091792375
"224"	"013"	"VT"	0.83867015
"225"	"014"	"VC"	0.62521488
"226"	"014"	"VR"	0.599889875
"227"	"014"	"VT"	0.5242717
"228"	"015"	"VC"	0.58531678
"229"	"015"	"VR"	0.64690776
"230"	"015"	"VT"	0.954743422222222
"231"	"016"	"VC"	0.888146433333333
"232"	"016"	"VR"	0.954978707407407
"233"	"016"	"VT"	0.933348936842105
"234"	"017"	"VC"	0.6504418625
"235"	"017"	"VR"	0.988494125
"236"	"017"	"VT"	1.1055953
"237"	"018"	"VC"	0.7614159125
"238"	"018"	"VR"	0.6068399
"239"	"018"	"VT"	0.980271276923077
"240"	"019"	"VC"	0.677759183333333
"241"	"019"	"VR"	0.5817783
"242"	"019"	"VT"	0.723819175
"243"	"020"	"VC"	0.434750933333333
"244"	"020"	"VR"	0.482493413333333
"245"	"020"	"VT"	0.516443923809524
"246"	"021"	"VC"	1.4362986
"247"	"021"	"VR"	1.12994721666667
"248"	"021"	"VT"	1.1479235
"249"	"022"	"VC"	0.670988216666667
"250"	"022"	"VR"	0.856563716666667
"251"	"022"	"VT"	1.16833555714286
"252"	"023"	"VC"	1.18573515
"253"	"023"	"VR"	0.645894657142857
"254"	"023"	"VT"	0.776954557142857
"255"	"024"	"VC"	0.79654108
"256"	"024"	"VR"	0.78557494
"257"	"024"	"VT"	1.05900039
"258"	"025"	"VC"	0.561766483333333
"259"	"025"	"VR"	0.7986759
"260"	"025"	"VT"	0.634073857142857
"261"	"026"	"VC"	0.584681161538462
"262"	"026"	"VR"	0.533145310344828
"263"	"026"	"VT"	0.617794744827586
"264"	"027"	"VC"	0.658605716666667
"265"	"027"	"VR"	0.8015023625
"266"	"027"	"VT"	0.793708688888889
"267"	"028"	"VC"	0.7904308625
"268"	"028"	"VR"	0.944156133333333
"269"	"028"	"VT"	0.9275520125
"270"	"029"	"VC"	0.38403448
"271"	"029"	"VR"	0.91389932
"272"	"029"	"VT"	1.15594524285714
"273"	"030"	"VC"	0.69539705
"274"	"030"	"VR"	0.796516766666667
"275"	"030"	"VT"	1.00434482222222
"276"	"031"	"VC"	1.11967716363636
"277"	"031"	"VR"	1.14836287142857
"278"	"031"	"VT"	0.982537133333333
"279"	"032"	"VC"	1.1232956
"280"	"032"	"VR"	1.22661036666667
"281"	"032"	"VT"	1.37249017272727
"282"	"033"	"VC"	0.6581285375
"283"	"033"	"VR"	0.715648369565217
"284"	"033"	"VT"	0.623625475
"285"	"034"	"VC"	1.06453082666667
"286"	"034"	"VR"	1.11890161666667
"287"	"034"	"VT"	1.032867
"288"	"035"	"VC"	0.91288915
"289"	"035"	"VR"	1.13403405
"290"	"035"	"VT"	1.13408150714286
"291"	"036"	"VC"	0.52782295
"292"	"036"	"VR"	0.98550935
"293"	"036"	"VT"	1.07033291111111
"294"	"037"	"VC"	0.789699975
"295"	"037"	"VR"	0.79058564
"296"	"037"	"VT"	1.0519429
"297"	"039"	"VC"	0.455943433333333
"298"	"039"	"VR"	0.90872126
