"Condition"	"Subject"	"mean"
"1"	"Auditory"	"001"	0.943396226415094
"2"	"Auditory"	"002"	0.98
"3"	"Auditory"	"003"	0.96
"4"	"Auditory"	"004"	0.98
"5"	"Auditory"	"005"	1
"6"	"Auditory"	"006"	0.98
"7"	"Auditory"	"007"	1
"8"	"Auditory"	"008"	0.980392156862745
"9"	"Auditory"	"009"	0.980392156862745
"10"	"Auditory"	"010"	0.901960784313726
"11"	"Auditory"	"011"	0.849056603773585
"12"	"Auditory"	"012"	0.980392156862745
"13"	"Auditory"	"013"	0.849056603773585
"14"	"Auditory"	"014"	1
"15"	"Auditory"	"015"	0.96
"16"	"Auditory"	"016"	0.901960784313726
"17"	"Auditory"	"017"	0.981132075471698
"18"	"Auditory"	"018"	1
"19"	"Auditory"	"019"	0.98
"20"	"Auditory"	"020"	0.961538461538462
"21"	"Auditory"	"021"	0.980392156862745
"22"	"Auditory"	"022"	0.96078431372549
"23"	"Auditory"	"023"	0.943396226415094
"24"	"Auditory"	"024"	0.98
"25"	"Auditory"	"025"	0.980769230769231
"26"	"Auditory"	"026"	0.98
"27"	"Auditory"	"027"	1
"28"	"Auditory"	"028"	0.983333333333333
"29"	"Auditory"	"029"	0.867924528301887
"30"	"Auditory"	"030"	0.94
"31"	"Auditory"	"031"	1
"32"	"Auditory"	"032"	1
"33"	"Auditory"	"033"	0.980392156862745
"34"	"Auditory"	"034"	0.566037735849057
"35"	"Auditory"	"035"	0.9
"36"	"Auditory"	"036"	0.980769230769231
"37"	"Auditory"	"037"	0.947368421052632
"38"	"Auditory"	"039"	0.941176470588235
"39"	"Auditory"	"040"	0.9
"40"	"Auditory"	"041"	0.979591836734694
"41"	"Auditory"	"042"	0.981481481481482
"42"	"Auditory"	"043"	0.979591836734694
"43"	"Auditory"	"044"	0.92156862745098
"44"	"Auditory"	"045"	0.959183673469388
"45"	"Auditory"	"046"	1
"46"	"Auditory"	"047"	0.980392156862745
"47"	"Auditory"	"048"	0.980392156862745
"48"	"Auditory"	"049"	0.862068965517241
"49"	"Auditory"	"050"	0.979591836734694
"50"	"Auditory"	"051"	0.96078431372549
"51"	"Auditory"	"052"	0.857142857142857
"52"	"Auditory"	"053"	0.98
"53"	"Auditory"	"054"	1
