"Condition"	"Subject"	"mean"
"54"	"Auditory"	"055"	0.686274509803922
"55"	"Auditory"	"056"	0.938775510204082
"56"	"Auditory"	"057"	0.823529411764706
"57"	"Auditory"	"058"	1
"58"	"Auditory"	"059"	0.980769230769231
"59"	"Auditory"	"060"	1
"60"	"Auditory"	"061"	0.895833333333333
"61"	"Auditory"	"062"	0.96078431372549
"62"	"Auditory"	"063"	0.938775510204082
"63"	"baseline"	"001"	1
"64"	"baseline"	"002"	1
"65"	"baseline"	"003"	1
"66"	"baseline"	"004"	1
"67"	"baseline"	"005"	0.944444444444444
"68"	"baseline"	"006"	1
"69"	"baseline"	"007"	1
"70"	"baseline"	"008"	1
"71"	"baseline"	"009"	0.941176470588235
"72"	"baseline"	"010"	0.764705882352941
"73"	"baseline"	"011"	0.85
"74"	"baseline"	"012"	1
"75"	"baseline"	"013"	0.941176470588235
"76"	"baseline"	"014"	1
"77"	"baseline"	"015"	1
"78"	"baseline"	"016"	1
"79"	"baseline"	"017"	1
"80"	"baseline"	"018"	1
"81"	"baseline"	"019"	0.9375
"82"	"baseline"	"020"	1
"83"	"baseline"	"021"	1
"84"	"baseline"	"022"	0.933333333333333
"85"	"baseline"	"023"	0.944444444444444
"86"	"baseline"	"024"	1
"87"	"baseline"	"025"	1
"88"	"baseline"	"026"	0.666666666666667
"89"	"baseline"	"027"	1
"90"	"baseline"	"028"	1
"91"	"baseline"	"029"	1
"92"	"baseline"	"030"	1
"93"	"baseline"	"031"	1
"94"	"baseline"	"032"	1
"95"	"baseline"	"033"	1
"96"	"baseline"	"034"	1
"97"	"baseline"	"035"	1
"98"	"baseline"	"036"	1
"99"	"baseline"	"037"	1
"100"	"baseline"	"039"	1
"101"	"baseline"	"040"	1
"102"	"baseline"	"041"	1
"103"	"baseline"	"042"	1
"104"	"baseline"	"043"	1
"105"	"baseline"	"044"	1
"106"	"baseline"	"045"	1
"107"	"baseline"	"046"	1
"108"	"baseline"	"047"	1
"109"	"baseline"	"048"	1
"110"	"baseline"	"049"	1
"111"	"baseline"	"050"	1
"112"	"baseline"	"051"	0.944444444444444
"113"	"baseline"	"052"	1
"114"	"baseline"	"053"	1
"115"	"baseline"	"054"	1
"116"	"baseline"	"055"	1
"117"	"baseline"	"056"	1
"118"	"baseline"	"057"	1
"119"	"baseline"	"058"	1
"120"	"baseline"	"059"	1
"121"	"baseline"	"060"	1
"122"	"baseline"	"061"	0.941176470588235
"123"	"baseline"	"062"	1
"124"	"baseline"	"063"	1
"125"	"Visual"	"001"	0.943396226415094
"126"	"Visual"	"002"	1
"127"	"Visual"	"003"	0.980392156862745
"128"	"Visual"	"004"	0.98
"129"	"Visual"	"005"	1
"130"	"Visual"	"006"	0.882352941176471
"131"	"Visual"	"007"	0.961538461538462
"132"	"Visual"	"008"	0.961538461538462
"133"	"Visual"	"009"	0.980769230769231
"134"	"Visual"	"010"	0.92156862745098
"135"	"Visual"	"011"	0.75
"136"	"Visual"	"012"	0.961538461538462
"137"	"Visual"	"013"	0.857142857142857
"138"	"Visual"	"014"	1
"139"	"Visual"	"015"	0.941176470588235
"140"	"Visual"	"016"	0.96
"141"	"Visual"	"017"	0.98
"142"	"Visual"	"018"	0.98
"143"	"Visual"	"019"	0.923076923076923
"144"	"Visual"	"020"	0.923076923076923
"145"	"Visual"	"021"	0.98
"146"	"Visual"	"022"	0.92
"147"	"Visual"	"023"	0.958333333333333
"148"	"Visual"	"024"	0.96
"149"	"Visual"	"025"	1
"150"	"Visual"	"026"	0.92156862745098
"151"	"Visual"	"027"	0.982456140350877
"152"	"Visual"	"028"	1
"153"	"Visual"	"029"	0.979591836734694
"154"	"Visual"	"030"	1
"155"	"Visual"	"031"	0.980392156862745
"156"	"Visual"	"032"	1
"157"	"Visual"	"033"	0.979591836734694
"158"	"Visual"	"034"	0.596153846153846
"159"	"Visual"	"035"	0.823529411764706
"160"	"Visual"	"036"	0.980769230769231
"161"	"Visual"	"037"	0.982456140350877
"162"	"Visual"	"039"	0.901960784313726
"163"	"Visual"	"040"	0.862745098039216
"164"	"Visual"	"041"	0.96
"165"	"Visual"	"042"	0.982142857142857
"166"	"Visual"	"043"	0.98
"167"	"Visual"	"044"	0.96
"168"	"Visual"	"045"	0.980769230769231
"169"	"Visual"	"046"	1
"170"	"Visual"	"047"	0.979591836734694
"171"	"Visual"	"048"	0.941176470588235
"172"	"Visual"	"049"	0.877551020408163
"173"	"Visual"	"050"	0.98
"174"	"Visual"	"051"	0.96
"175"	"Visual"	"052"	0.94
"176"	"Visual"	"053"	0.980392156862745
"177"	"Visual"	"054"	1
"178"	"Visual"	"055"	0.705882352941177
"179"	"Visual"	"056"	0.884615384615385
"180"	"Visual"	"057"	0.86
"181"	"Visual"	"058"	0.96
"182"	"Visual"	"059"	1
"183"	"Visual"	"060"	0.96
"184"	"Visual"	"061"	0.959183673469388
"185"	"Visual"	"062"	0.92
"186"	"Visual"	"063"	0.938775510204082
